1715006348.384048 ##########################################################################################
1715006348.448737 ### CosmicWatch: The Desktop Muon Detector
1715006348.48256 ### Questions? info@ukraa.com
1715006348.5825486 ### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
1715006348.6512957 ##########################################################################################
1715006348.6583736 28/317
Time Item Time_el AD_Val mV t_Delta Temp
1715006350.0761802 1 368 71 19.06 726 23.15
1715006350.1144814 2 405 217 37.04 730 23.15
1715006350.2888865 3 580 76 19.69 734 22.94
1715006350.4353876 4 725 364 71.71 740 23.15
1715006350.6491246 5 941 97 21.75 744 23.15
1715006351.024553 6 1316 56 16.76 930 23.15
1715006351.365948 7 1655 134 24.82 934 23.15
1715006351.3934426 8 1666 255 43.96 939 22.94
1715006352.0982885 9 2386 140 25.42 1126 23.15
1715006352.328773 10 2616 204 34.73 1130 23.15
1715006352.681502 11 2969 376 76.43 1134 23.15
1715006352.975274 12 3263 248 42.69 1322 22.94
1715006353.3804154 13 3668 60 17.43 1327 23.15
1715006353.4655097 14 3753 167 28.76 1332 23.15
1715006354.1504743 15 4438 206 35.07 1519 23.15
1715006354.3132148 16 4601 176 30.09 1523 23.15
1715006354.3457298 17 4622 179 30.55 1527 23.15
1715006354.3744547 18 4660 344 64.67 1531 23.15
1715006354.5285904 19 4817 140 25.42 1535 23.15
1715006354.9161785 20 5205 71 19.06 1723 23.15
1715006355.3188 21 5608 79 20.03 1727 23.15
1715006356.1278784 22 6419 209 35.61 1914 23.15
1715006356.323037 23 6613 60 17.43 1918 23.15
1715006356.455605 24 6747 204 34.73 1923 23.15
1715006357.3130453 25 7602 110 22.78 2110 23.15
1715006357.3756442 26 7666 88 20.96 2114 23.15
1715006357.4333074 27 7722 345 64.98 2118 23.15
1715006359.1170905 28 9408 63 17.91 2490 22.94
1715006359.389805 29 9680 63 17.91 2495 23.15
1715006359.5974252 30 9887 216 36.85 2500 23.15
1715006360.127579 31 10418 88 20.96 2687 23.15
1715006360.4864702 32 10776 243 41.74 2691 23.15
1715006362.2565813 33 12546 391 82.35 3062 23.15
1715006363.2766483 34 13568 57 16.93 3250 23.15
1715006363.5792897 35 13870 71 19.06 3254 23.15
1715006363.6119435 36 13896 512 144.44 3259 23.15
1715006364.1370137 37 14429 62 17.75 3449 23.15
1715006365.4010959 38 15694 556 174.47 3636 23.15
1715006365.5985446 39 15890 126 24.09 3641 23.15
1715006366.231285 40 16524 287 50.23 3829 23.15
1715006366.3163688 41 16610 71 19.06 3833 23.15
1715006366.4878323 42 16781 133 24.73 3838 23.15
1715006367.0237718 43 17316 540 166.11 4026 23.05
1715006367.4154084 44 17708 71 19.06 4031 23.15
1715006367.6843114 45 17976 385 80.11 4036 23.15
1715006368.3180907 46 18611 63 17.91 4225 23.15
1715006370.0295467 47 20322 252 43.42 4595 23.15
1715006370.1472433 48 20439 286 49.78 4600 23.15
1715006370.3035288 49 20596 135 24.92 4605 23.15
1715006370.6223462 50 20917 67 18.51 4610 23.15
1715006370.937801 51 21233 89 21.05 4798 23.15
1715006371.2989707 52 21595 78 19.92 4802 23.15
1715006371.677784 53 21971 140 25.42 4806 23.15
1715006372.9104397 54 23204 159 27.66 5177 23.15
1715006374.2142437 55 24508 241 41.39 5364 23.15
1715006375.2431128 56 25538 332 61.17 5552 23.15
1715006376.0220797 57 26318 78 19.92 5741 23.15
1715006376.1372318 58 26433 153 26.90 5745 23.15
1715006376.6610475 59 26955 159 27.66 5749 23.15
1715006377.572369 60 27868 271 46.93 5936 23.15
1715006377.9224055 61 28219 51 15.86 6124 23.15
1715006378.2922192 62 28589 79 20.03 6128 23.15
1715006378.9689806 63 29264 344 64.67 6315 23.15
1715006379.9253366 64 30221 423 97.36 6503 23.15
1715006380.3429608 65 30639 193 32.84 6507 23.15
1715006380.3755226 66 30668 126 24.09 6511 23.15
1715006380.9221036 67 31218 120 23.58 6699 23.15
1715006381.0046864 68 31302 259 44.69 6704 22.94
1715006381.2385545 69 31535 391 82.35 6709 23.15
1715006381.4812381 70 31779 519 154.30 6713 23.05
1715006381.9248934 71 32223 57 16.93 6904 23.15
1715006382.3575034 72 32655 79 20.03 6908 23.15
1715006383.5140731 73 33812 515 147.53 7095 23.05
1715006383.9816194 74 34279 384 80.08 7286 23.15
1715006384.2467554 75 34545 433 104.37 7290 23.05
1715006384.684314 76 34981 415 95.00 7294 23.15
1715006385.8953662 77 36195 76 19.69 7668 22.94
1715006385.9896455 78 36289 304 53.73 7672 23.15
1715006386.0422413 79 36342 71 19.06 7676 23.15
1715006386.885992 80 36992 51 15.86 7680 23.15
1715006387.36734 81 37667 99 21.91 7867 23.15
1715006387.512492 82 37812 63 17.91 7871 23.15
1715006387.8864896 83 37989 574 181.47 7876 23.05
1715006388.2252805 84 38524 113 23.02 8064 23.15
1715006388.5029368 85 38801 227 38.83 8068 23.15
1715006388.659196 86 38959 56 16.76 8073 23.15
1715006388.88559 87 38989 96 21.67 8078 23.15
1715006389.2370977 88 39537 440 109.25 8265 23.05
1715006389.2695913 89 39551 71 19.06 8269 23.15
1715006389.3759677 90 39676 78 19.92 8274 23.15
1715006389.6299884 91 39929 268 46.26 8278 23.15
1715006390.8859677 92 41000 193 32.84 8466 23.15
